,sym_1,sym_2,spread,zscore
0,10.19,0.483,0.8624489000000004,
1,10.21,0.4792,0.9558333600000015,
2,9.72,0.5103,-0.13476050999999778,
3,10.4,0.6148,-1.4728331599999986,
4,12.27,0.5548,1.5558688400000005,
5,12.39,0.5529,1.7125610700000031,
6,12.72,0.5128,2.8169602400000002,
7,12.62,0.4907,3.14374881,
8,12.79,0.4839,3.4450683699999995,
9,13.05,0.4853,3.678031990000001,
10,12.63,0.4529,3.8837310700000014,
11,10.49,0.5005,0.8244941500000014,
12,12.46,0.4663,3.4549542900000016,
13,10.66,0.5156,0.7028874800000029,
14,10.36,0.4768,1.1521814399999997,
15,9.63,0.4651,0.6481283300000005,
16,9.79,0.3957,2.14836031,
17,8.61,0.4202,0.4952236600000006,
18,9.53,0.5733,-1.5413976100000006,
19,14.13,0.5453,3.599329990000001,1.2156908614333584
20,13.35,0.6647,0.5135130100000023,-0.6429040707806017
21,17.0,0.6942,3.5938178599999997,1.1014588256223663
22,18.3,0.7248,4.302879840000003,1.358293961913745
23,18.4,0.7431,4.049475730000001,1.1437244161094815
24,18.97,0.816,3.2116528000000013,0.5690838050940774
25,22.17,0.7223,8.221159090000002,2.691830209821059
26,22.0,0.7474,7.566435420000003,1.9979078296427204
27,26.05,0.744,11.682095200000003,2.7302619184187527
28,24.31,0.6815,11.14907645,2.110666051983019
29,20.42,0.7889,5.184999870000002,0.405156971095923
30,16.3,0.8421,0.037617430000004504,-0.9607391981858737
31,18.7,0.8572,2.146010760000003,-0.4065435813941353
32,18.59,0.8206,2.742818980000001,-0.2313011037498929
33,14.35,0.8908,-2.852862359999998,-1.6249500116048876
34,15.72,0.8937,-1.5388662899999996,-1.2085704332659568
35,15.31,0.9246,-2.545597819999996,-1.3628922493593798
36,13.96,0.9589,-4.557989129999996,-1.6337068945918916
37,14.2,0.9212,-3.58993804,-1.3145261263279409
38,14.52,0.9532,-3.887912440000001,-1.3149804397717937
39,14.63,0.9599,-3.9073008299999987,-1.1930778150361865
40,14.92,0.9302,-3.0437433400000007,-0.9623951412583535
41,14.28,0.8528,-2.1890177600000005,-0.7308233242428899
42,13.7,0.9031,-3.740396269999998,-0.9355758324566272
43,14.3,0.8953,-2.9897650099999957,-0.7222862907812486
44,14.27,0.8842,-2.8054051399999977,-0.6276239862601357
45,14.0,0.9205,-3.77641985,-0.7293144613439313
46,14.58,0.9122,-3.0361327399999976,-0.5097761534391387
47,14.29,0.852,-2.163568399999999,-0.2310980745136192
48,13.78,0.9605,-4.7688878500000005,-1.0316824604250543
49,15.15,1.0076,-4.3084689199999975,-0.8702205415752071
50,15.62,0.9625,-2.9675112499999994,-0.14337682720055514
51,15.13,1.0194,-4.556346979999999,-0.9489504837617938
52,16.6,0.9665,-2.0647580499999982,1.3058533872480302
53,16.2,1.1036,-5.1123921199999955,-1.7335663895568663
54,18.87,1.1409,-3.162718529999996,0.32705807349508503
55,19.83,1.1867,-3.0871943900000005,0.4508404546929277
56,20.92,1.1389,-1.0740951299999963,2.2427241978061656
57,18.56,1.1867,-4.35719439,-0.9842420162633757
58,18.43,1.1643,-4.054612309999996,-0.6769310293265663
59,18.07,1.2696,-6.448134319999998,-2.397066221800019
60,19.26,1.2847,-5.5497409899999965,-1.4763083711702818
61,19.2,1.1299,-2.6202898299999973,0.783042099665035
62,18.67,1.1057,-2.6829466899999943,0.6847081370703967
63,18.45,1.0653,-2.1227540099999977,1.0518217346244574
64,17.35,1.0569,-3.0605357299999945,0.3650108103471661
65,17.55,1.081,-3.325947699999997,0.14975795815829193
66,18.14,1.1702,-4.458551339999996,-0.6390766450672233
67,18.17,0.8072,2.5815957600000026,3.1066079867696343
68,17.58,0.8067,2.0012516100000006,2.2585572961494087
69,15.82,0.8221,-0.05614856999999951,1.198703570232771
70,15.87,0.9342,-2.170990139999999,0.2600031043430899
71,16.46,0.7276,2.4088070800000008,1.9079659041735997
72,15.02,0.7063,1.3801462900000008,1.3589760889668325
73,15.06,0.7151,1.2502033300000033,1.1824051312901969
74,14.44,0.675,1.4046024999999993,1.120546720396967
75,13.35,0.698,-0.12956659999999864,0.5136524316909747
76,13.54,0.6801,0.40611282999999965,0.6720964498547994
77,12.72,0.69,-0.6050729999999973,0.25198566697547337
78,13.6,0.6976,0.1281580800000004,0.45460541419235695
79,13.73,0.7176,-0.1280759199999988,0.271858341478448
80,14.01,0.7404,-0.288382679999998,0.10457848322716172
81,14.71,0.7336,0.542936880000001,0.4411240008451046
82,13.85,0.7051,0.23332033000000152,0.22336579519203786
83,13.69,0.7159,-0.13524602999999935,-0.018097184331057413
84,14.03,0.7596,-0.6391673200000003,-0.37405916921387344
85,14.84,0.7342,0.6613498600000014,0.27976438141826426
86,15.26,0.7821,0.15631942999999993,-0.2588308520667402
87,14.31,0.8104,-1.340201679999998,-1.4691795693681549
88,15.14,0.8358,-1.0007188599999992,-1.0649462349062406
89,15.24,0.8247,-0.6863589899999987,-0.7213584231646176
90,15.39,0.7275,1.3407382500000011,1.1558822355522946
91,13.19,0.7691,-1.6626284699999996,-1.912729632777855
92,14.07,0.7777,-0.9487090899999977,-1.0189682355757441
93,14.87,0.7406,0.5677549800000001,0.8241948420773622
94,13.74,0.7522,-0.7862607399999977,-0.7623756379330991
95,14.24,0.8015,-1.2383275499999975,-1.2368119023939725
96,14.82,0.7417,0.49651211000000117,0.9704106750217685
97,13.91,0.8118,-1.7672380599999986,-1.6914380897212196
98,15.22,0.8872,-1.9133402399999984,-1.6235070818951076
99,16.04,0.8719,-0.7978712299999984,-0.36839616171978934
100,15.76,0.8852,-1.334716839999997,-0.8785952889604987
101,15.77,0.9597,-2.7634384899999986,-2.0306082319540826
102,17.65,0.987,-1.4106479000000007,-0.6402902490933146
103,18.43,0.9213,0.6381307900000017,1.288684614530853
104,17.05,0.9073,-0.4715054099999989,0.22866476763446886
105,16.79,0.9521,-1.5966695699999995,-0.7542396112526837
106,17.01,0.9429,-1.1990019299999943,-0.3059107913000614
107,17.22,1.0114,-2.3118533800000023,-1.3125511915231483
108,18.94,1.0995,-2.2932141499999936,-1.1840154095061841
109,21.27,1.076,0.4906107999999989,1.26710051304809
110,20.1,1.1666,-2.4290292199999968,-1.2371001247800728
111,21.77,1.1225,0.09261675000000125,1.0651522565675902
112,20.85,0.9594,2.3223550200000034,2.447342629986301
113,20.05,0.9137,2.4048997100000022,2.1723739266109585
114,20.62,0.8509,4.187674470000001,2.563369233759548
115,18.42,0.8679,1.6593755700000017,1.0828036186564636
116,17.99,0.9635,-0.6168229499999995,-0.08534782045390144
117,19.39,0.9987,0.1034052100000018,0.2490946384935861
118,20.17,1.0025,0.8100207500000032,0.5604063123670118
119,19.05,0.9747,0.2268860100000012,0.21748192682068604
120,20.04,0.9887,0.9465222100000013,0.5470391673309895
121,17.87,0.9628,-0.7233047599999978,-0.44037820293805235
122,16.81,1.0764,-3.977113880000001,-2.012184357717473
123,17.0,1.0309,-2.908431529999998,-1.30652994294189
124,16.57,0.8617,-0.07089188999999863,0.08558752767390239
125,16.45,0.8586,-0.13102561999999907,0.019909612131869713
126,17.14,0.7385,2.878309550000001,1.3588710184168322
127,16.06,0.867,-0.6832439000000008,-0.3932587226298667
128,17.89,1.0632,-2.6421994399999953,-1.3351247368875911
129,21.13,1.1749,-1.5593163300000015,-0.7463438366767218
130,22.15,1.159,-0.2322603000000001,-0.1679937772738319
131,23.38,1.2285,-0.3444234499999972,-0.21279554391951028
132,24.3,1.3625,-2.012191249999997,-0.9457640460559382
133,27.63,1.4207,0.19386781000000042,0.23129169055835144
134,26.66,1.4751,-1.8266886699999993,-0.794742094999561
135,26.28,1.5001,-2.689481169999997,-1.2099753082240188
136,25.67,1.6342,-5.889180139999997,-2.4801623339682384
137,27.94,1.4956,-0.9425785199999979,0.070136264682552
138,26.75,1.4679,-1.5976444299999955,-0.21041438845869528
139,25.42,1.5728,-4.953441759999997,-1.7158168577952468
140,27.98,1.5209,-1.391164529999994,0.09398383331545157
141,27.74,1.6755,-4.61675335,-1.3826206992840246
142,30.02,1.8397,-5.507734489999994,-1.6866073050723214
143,33.15,1.8009,-1.6284405299999989,0.07135025453372189
144,33.73,2.0547,-5.949749990000001,-1.6792930885673076
145,38.69,2.0453,-0.8082200099999994,0.5706638697028261
146,39.28,2.0951,-1.1799426699999955,0.5739698549764732
147,41.09,2.0881,0.765239230000013,1.4579453717201472
148,40.14,2.085,-0.12489449999999636,0.942111870642152
149,38.96,1.9942,0.44860786000000274,1.1265271002291566
150,39.07,1.9735,0.9583600500000031,1.2932452909906882
151,38.59,2.0583,-1.1592721099999963,0.37515360176305756
152,39.68,2.2604,-3.972166680000001,-0.8266207102807045
153,44.41,2.3503,-0.9782885099999987,0.5275515469052042
154,45.66,2.2711,1.801198129999996,1.5752591888611573
155,46.41,2.215,3.6345845000000025,1.9636754722836243
156,45.64,2.3184,0.8677547200000006,0.8551252166627556
157,49.47,2.2016,6.953361280000003,2.4961179830251017
158,45.01,2.3994,-1.3264929799999976,-0.1326295739736363
159,40.95,2.0146,2.0446491800000004,0.8487086614264555
160,40.41,2.0442,0.9330228600000012,0.4468172121155858
161,40.82,2.0723,0.8003640900000093,0.3321305157585348
162,42.63,2.0531,2.981148730000001,1.0031881484726504
163,42.14,2.1059,1.471490970000005,0.39463353579291705
164,44.33,2.2443,0.9887516900000008,0.10428810273183328
165,42.48,2.1845,0.2935913499999998,-0.2331974407774926
166,39.89,2.0973,-0.6124284099999997,-0.6620770468608859
167,39.99,2.4542,-7.404774139999994,-2.7355776541034476
168,47.07,2.423,0.2777509000000009,-0.06022055666834039
169,47.44,2.3009,3.0057094699999993,0.8320584929777678
170,42.61,2.4927,-5.528274590000002,-1.7965351678970383
171,44.95,2.5646,-4.576785819999991,-1.3770106926709134
172,49.36,2.4611,1.8319751300000036,0.44694738707310205
173,50.73,2.454,3.339088199999999,0.8301964033083369
174,51.43,2.0366,12.099791780000004,2.6216636255713928
175,49.34,2.2673,5.5545825900000025,1.0183357206889072
176,50.89,2.3816,4.897255280000003,0.802916798006866
177,54.22,2.6313,3.4051237900000046,0.5212198634770886
178,61.64,2.7769,8.013340270000008,1.4366051239513253
179,64.89,2.7686,11.42362738,1.8863999082065617
180,70.0,2.8629,14.712534070000011,2.102799596728383
181,70.16,2.9284,13.60761772,1.6574180961319651
182,76.13,2.8919,20.28249477,2.223604396843224
183,73.84,2.8181,19.417698230000013,1.7995405497338004
184,59.37,3.201,-2.4467517,-0.9400487557228708
185,68.31,3.41,2.4571030000000036,-0.34336846408037874
186,49.22,3.3346,-15.176794819999998,-2.158695426984858
187,50.74,2.6462,-0.36262053999999466,-0.5918670594455305
188,40.98,2.3764,-4.912323879999995,-1.0564950853374546
189,42.1,2.58,-7.724185999999996,-1.2532113830044227
190,46.73,2.6589,-4.617879129999999,-0.9311225052253255
191,47.77,2.2161,4.973341630000007,0.04777156302722922
192,41.29,2.5253,-7.477836009999997,-1.219310788937138
193,48.15,2.6324,-2.6861190799999974,-0.6732055644960032
194,48.17,2.9086,-8.00001061999999,-1.1069607888444868
195,55.83,3.0591,-3.2464214699999943,-0.5691328389371059
196,56.21,2.6778,4.497129740000005,0.22376961642299198
197,55.54,3.0357,-3.0845276899999945,-0.5140691966297088
198,54.62,3.2168,-7.5018765599999995,-0.8737464223690824
199,55.43,3.0302,-3.088313339999992,-0.3676446065546037
